date_trunc,status__c,count,sum
2014-08-01 00:00:00.000000,MEGTORTENT,26018,111237382
2014-09-01 00:00:00.000000,MEGTORTENT,25212,107784688
2014-10-01 00:00:00.000000,MEGTORTENT,26141,111950459
2014-11-01 00:00:00.000000,MEGTORTENT,25184,107790216
2014-12-01 00:00:00.000000,MEGTORTENT,25989,111161611
2015-01-01 00:00:00.000000,MEGTORTENT,26030,111337470
2015-02-01 00:00:00.000000,MEGTORTENT,23451,100344949
2015-03-01 00:00:00.000000,MEGTORTENT,26039,111387561
2015-04-01 00:00:00.000000,MEGTORTENT,25112,107415788
2015-05-01 00:00:00.000000,MEGTORTENT,26129,111783871
2015-06-01 00:00:00.000000,MEGTORTENT,25255,108016845
2015-07-01 00:00:00.000000,MEGTORTENT,26060,111482240
2015-08-01 00:00:00.000000,MEGTORTENT,26049,111371451
2015-09-01 00:00:00.000000,MEGTORTENT,25125,107434175
2015-10-01 00:00:00.000000,MEGTORTENT,26031,111375769
2015-11-01 00:00:00.000000,MEGTORTENT,25301,108308299
2015-12-01 00:00:00.000000,MEGTORTENT,25893,110801807
2016-01-01 00:00:00.000000,MEGTORTENT,26057,111417943
2016-02-01 00:00:00.000000,MEGTORTENT,24271,103817529
2016-03-01 00:00:00.000000,MEGTORTENT,26031,111339769
2016-04-01 00:00:00.000000,MEGTORTENT,25190,107793310
2016-05-01 00:00:00.000000,MEGTORTENT,26024,111317076
2016-06-01 00:00:00.000000,MEGTORTENT,25247,107967353
2016-07-01 00:00:00.000000,MEGTORTENT,26028,111284772
2016-08-01 00:00:00.000000,MEGTORTENT,26027,111278173
2016-09-01 00:00:00.000000,MEGTORTENT,25180,107749020
2016-10-01 00:00:00.000000,MEGTORTENT,26051,111480749
2016-11-01 00:00:00.000000,MEGTORTENT,25283,108183917
2016-12-01 00:00:00.000000,MEGTORTENT,26040,111352660
2017-01-01 00:00:00.000000,MEGTORTENT,26008,111230592
2017-02-01 00:00:00.000000,MEGTORTENT,23504,100558696
2017-03-01 00:00:00.000000,MEGTORTENT,25998,111155702
2017-04-01 00:00:00.000000,MEGTORTENT,25190,107815510
2017-05-01 00:00:00.000000,MEGTORTENT,26004,111249896
2017-06-01 00:00:00.000000,MEGTORTENT,25176,107686824
2017-07-01 00:00:00.000000,MEGTORTENT,25964,111108736
2017-08-01 00:00:00.000000,MEGTORTENT,26040,111358560
2017-09-01 00:00:00.000000,MEGTORTENT,25195,107804005
2017-10-01 00:00:00.000000,MEGTORTENT,26006,111223394
2017-11-01 00:00:00.000000,MEGTORTENT,25200,107794200
2017-12-01 00:00:00.000000,MEGTORTENT,26069,111535331
2018-01-01 00:00:00.000000,MEGTORTENT,26074,111557526
2018-02-01 00:00:00.000000,MEGTORTENT,23562,100789638
2018-03-01 00:00:00.000000,MEGTORTENT,25979,111111821
2018-04-01 00:00:00.000000,MEGTORTENT,25252,108063448
2018-05-01 00:00:00.000000,MEGTORTENT,26029,111416871
2018-06-01 00:00:00.000000,MEGTORTENT,25195,107773405
2018-07-01 00:00:00.000000,MEGTORTENT,26090,111499210
2018-08-01 00:00:00.000000,MEGTORTENT,25909,110758991
2018-09-01 00:00:00.000000,MEGTORTENT,25215,107893585
2018-10-01 00:00:00.000000,MEGTORTENT,25987,111153713
2018-11-01 00:00:00.000000,MEGTORTENT,25233,107921467
2018-12-01 00:00:00.000000,MEGTORTENT,26106,111711394
2019-01-01 00:00:00.000000,MEGTORTENT,26053,111468247
2019-02-01 00:00:00.000000,MEGTORTENT,23581,100869119
2019-03-01 00:00:00.000000,MEGTORTENT,26032,111327268
2019-04-01 00:00:00.000000,MEGTORTENT,25140,107554560
2019-05-01 00:00:00.000000,MEGTORTENT,25992,111218708
2019-06-01 00:00:00.000000,MEGTORTENT,25163,107574737
2019-07-01 00:00:00.000000,MEGTORTENT,26097,111593303
2019-08-01 00:00:00.000000,MEGTORTENT,26000,111237000
2019-09-01 00:00:00.000000,MEGTORTENT,25172,107764128
2019-10-01 00:00:00.000000,MEGTORTENT,26022,111324178
2019-11-01 00:00:00.000000,MEGTORTENT,25166,107657234
2019-12-01 00:00:00.000000,MEGTORTENT,26073,111549727
2020-01-01 00:00:00.000000,MEGTORTENT,25939,110946561
2020-02-01 00:00:00.000000,MEGTORTENT,24387,104345513
2020-03-01 00:00:00.000000,MEGTORTENT,26018,111287882
2020-04-01 00:00:00.000000,MEGTORTENT,25195,107769005
2020-05-01 00:00:00.000000,MEGTORTENT,25948,110980552
2020-06-01 00:00:00.000000,MEGTORTENT,25230,107977170
2020-07-01 00:00:00.000000,MEGTORTENT,25991,111178809
2020-08-01 00:00:00.000000,MEGTORTENT,25892,110759408
2020-09-01 00:00:00.000000,MEGTORTENT,25194,107786806
2020-10-01 00:00:00.000000,MEGTORTENT,25996,111246204
2020-11-01 00:00:00.000000,MEGTORTENT,25167,107610433
2020-12-01 00:00:00.000000,MEGTORTENT,26106,111635694
2021-01-01 00:00:00.000000,MEGTORTENT,26070,111492630
2021-02-01 00:00:00.000000,MEGTORTENT,23572,100816128
2021-03-01 00:00:00.000000,MEGTORTENT,26055,111478545
2021-04-01 00:00:00.000000,MEGTORTENT,25253,107987747
2021-05-01 00:00:00.000000,MEGTORTENT,26139,111786961
2021-06-01 00:00:00.000000,MEGTORTENT,25122,107402878
2021-07-01 00:00:00.000000,MEGTORTENT,26132,111814668
2021-08-01 00:00:00.000000,MEGTORTENT,25972,111046828
2021-09-01 00:00:00.000000,MEGTORTENT,25174,107711326
2021-10-01 00:00:00.000000,MEGTORTENT,26041,111379159
2021-11-01 00:00:00.000000,MEGTORTENT,25251,107995249
2021-12-01 00:00:00.000000,MEGTORTENT,26071,111532629
2022-01-01 00:00:00.000000,MEGTORTENT,26147,111902053
2022-02-01 00:00:00.000000,MEGTORTENT,23507,100537793
2022-03-01 00:00:00.000000,MEGTORTENT,25970,111125030
2022-04-01 00:00:00.000000,MEGTORTENT,25189,107733311
2022-05-01 00:00:00.000000,MEGTORTENT,25953,111042847
2022-06-01 00:00:00.000000,MEGTORTENT,25179,107715921
2022-07-01 00:00:00.000000,MEGTORTENT,26018,111257382
2022-08-01 00:00:00.000000,MEGTORTENT,26102,111581398
2022-09-01 00:00:00.000000,MEGTORTENT,25219,107904981
2022-10-01 00:00:00.000000,MEGTORTENT,26035,111395365
2022-11-01 00:00:00.000000,MEGTORTENT,25216,107900284
2022-12-01 00:00:00.000000,MEGTORTENT,25992,111211208
2023-01-01 00:00:00.000000,MEGTORTENT,25143,107588557
