ugyfel,number_of_visits,min_date_diff,avg_date_diff,max_date_diff
1964,29,1,13.6,50
8449,25,1,13.6,34
8049,24,0,13.6,53
2180,26,0,13.6,71
17141,27,0,13.6,53
16926,23,0,13.6,40
13861,25,1,13.6,56
13461,25,0,13.6,64
9892,25,1,13.6,58
2487,27,0,13.6,47
18657,23,0,13.6,48
14844,28,0,13.7,75
5654,27,0,13.7,46
9466,26,0,13.7,86
13953,26,0,13.7,70
8033,17,0,13.7,65
17456,26,1,13.7,62
19070,25,0,13.7,40
18533,26,0,13.7,52
4051,24,1,13.7,45
8350,24,1,13.7,48
14712,28,0,13.7,46
17651,25,0,13.7,59
12746,27,1,13.7,53
8794,22,0,13.7,57
19587,26,0,13.7,53
15551,23,1,13.7,58
15696,18,1,13.7,48
16413,27,1,13.7,56
7416,23,0,13.7,57
962,26,0,13.7,41
12631,25,0,13.8,44
184,24,1,13.8,44
15192,26,1,13.8,44
2616,25,1,13.8,62
15702,26,1,13.8,41
15098,26,1,13.8,45
16251,26,1,13.8,44
11363,26,1,13.8,51
12669,24,0,13.8,45
2262,27,0,13.8,64
6170,26,0,13.8,85
5205,25,0,13.8,44
5571,22,0,13.8,63
2928,16,1,13.8,37
6357,24,0,13.8,51
2601,20,0,13.8,39
19898,22,0,13.9,37
3358,14,0,13.9,62
15292,27,0,13.9,62
19653,28,0,13.9,53
19897,24,1,13.9,51
4741,19,1,13.9,59
3459,27,1,13.9,40
18028,23,0,13.9,41
14017,25,0,13.9,64
13082,21,0,13.9,48
3720,26,0,13.9,36
3655,28,0,13.9,67
15264,27,0,13.9,45
11753,27,1,13.9,37
16589,25,0,13.9,45
18648,28,1,13.9,41
17288,27,1,13.9,44
11215,27,0,13.9,61
5220,27,0,13.9,55
15072,20,0,13.9,73
16172,27,0,13.9,71
16124,27,1,13.9,46
7741,22,0,14,41
17246,23,0,14,54
10189,25,1,14,50
5006,21,0,14,56
9560,21,0,14,45
15486,26,1,14,47
11417,25,0,14,61
16289,24,0,14,61
1552,28,0,14,38
8995,27,1,14,85
3026,28,1,14,79
8901,24,0,14,32
19992,24,0,14,53
18696,24,0,14,63
14231,21,0,14,47
11953,27,0,14,42
8363,24,1,14,39
8207,27,0,14,66
3525,25,1,14,38
7791,18,0,14,41
7751,21,3,14,31
4445,27,1,14,54
955,22,0,14,42
909,24,0,14,46
3885,24,0,14,78
17336,26,0,14,70
18210,26,0,14,65
4113,24,0,14,49
2149,26,1,14.1,46
15559,24,2,14.1,40
4026,24,1,14.1,50
5773,27,0,14.1,53
10595,22,1,14.1,36
11864,26,0,14.1,106
9330,23,0,14.1,38
17425,25,0,14.1,57
13155,23,0,14.1,78
11260,25,1,14.1,61
10143,26,1,14.1,58
6966,27,2,14.1,84
10960,17,0,14.1,69
7527,26,1,14.1,71
8678,21,0,14.1,66
14595,27,1,14.1,61
12044,27,0,14.1,56
5083,25,1,14.1,38
1060,26,0,14.1,34
5434,24,1,14.1,57
12285,24,1,14.1,58
5344,24,1,14.1,32
1948,17,1,14.1,41
7686,27,1,14.1,47
3010,27,0,14.1,62
2549,25,0,14.2,59
11952,25,0,14.2,53
5509,23,1,14.2,48
5757,25,1,14.2,68
12099,25,1,14.2,39
10871,24,0,14.2,53
13463,26,1,14.2,66
16306,22,1,14.2,62
4072,25,1,14.2,55
14308,26,1,14.2,41
19089,26,1,14.2,62
6309,26,1,14.2,52
15779,25,0,14.2,36
19955,20,3,14.2,44
8974,25,0,14.2,90
11169,25,1,14.2,66
12794,24,1,14.2,48
18940,23,1,14.2,65
17632,22,0,14.2,91
1959,26,0,14.2,52
12467,26,1,14.2,40
5034,24,1,14.2,37
9029,23,0,14.2,49
19676,22,1,14.2,59
907,27,0,14.3,56
9632,23,0,14.3,44
5624,17,3,14.3,46
11077,24,0,14.3,42
12289,24,1,14.3,70
4917,24,0,14.3,30
14696,24,0,14.3,55
8660,25,1,14.3,42
16549,23,0,14.3,74
15661,24,0,14.3,71
5901,27,0,14.3,84
17101,23,1,14.3,60
1356,23,0,14.3,39
12831,21,0,14.3,74
7319,27,0,14.3,49
13716,27,1,14.3,46
16366,27,1,14.3,47
6602,27,2,14.3,31
10007,25,0,14.3,34
873,23,0,14.3,39
3814,18,0,14.3,37
609,25,1,14.3,68
14103,23,0,14.3,79
1884,22,1,14.3,33
3725,22,0,14.3,64
9845,20,1,14.3,59
13825,25,1,14.3,54
2503,23,1,14.3,43
3364,22,0,14.3,59
5686,20,0,14.3,44
13451,25,0,14.3,36
16090,19,0,14.3,60
7881,23,1,14.3,46
9475,26,1,14.3,54
2597,25,1,14.3,55
1901,24,1,14.4,48
8923,21,0,14.4,45
4111,25,1,14.4,46
18303,25,0,14.4,56
8930,24,1,14.4,67
1157,25,1,14.4,80
2694,25,0,14.4,56
5027,20,0,14.4,59
11058,26,1,14.4,57
6603,22,1,14.4,65
8482,23,0,14.4,75
318,25,0,14.4,79
17286,27,1,14.4,71
9765,27,0,14.4,93
4316,24,1,14.4,48
13788,27,0,14.4,51
15865,24,0,14.4,103
2163,25,1,14.4,50
2098,25,1,14.4,69
380,27,0,14.4,55
13240,26,1,14.4,49
13597,22,0,14.4,53
4527,27,1,14.4,64
13145,24,0,14.4,41
9867,27,1,14.4,54
10902,25,0,14.4,53
10919,26,2,14.4,53
16146,26,0,14.4,58
18721,20,0,14.4,43
5595,26,1,14.4,39
3576,27,0,14.4,46
19097,25,1,14.4,62
8284,23,1,14.4,69
17932,23,0,14.4,41
5655,27,0,14.4,38
276,23,0,14.5,45
3044,26,1,14.5,48
8723,10,2,14.5,30
1505,24,0,14.5,66
8564,27,1,14.5,43
6072,24,0,14.5,42
1560,27,0,14.5,50
18801,21,0,14.5,36
5308,27,1,14.5,81
19453,27,0,14.5,54
4583,26,0,14.5,53
365,19,1,14.5,58
15089,22,0,14.5,66
12156,23,2,14.5,81
1175,27,0,14.5,51
16730,21,4,14.5,29
11014,24,0,14.5,43
5556,26,1,14.5,64
18493,19,0,14.5,40
12434,25,1,14.5,46
14558,24,1,14.5,56
2064,24,1,14.5,69
7665,24,0,14.5,53
7651,22,1,14.5,46
7611,26,0,14.5,50
2442,21,0,14.5,51
5103,17,2,14.5,45
19995,24,1,14.5,95
7108,24,1,14.5,36
12925,26,1,14.5,85
18233,23,1,14.5,57
4723,26,0,14.5,101
8843,22,0,14.5,57
8251,24,1,14.6,39
7660,25,0,14.6,52
13612,24,1,14.6,100
5945,26,1,14.6,64
19366,26,1,14.6,47
7413,23,1,14.6,56
3857,26,1,14.6,50
13823,22,0,14.6,52
17290,23,1,14.6,56
19506,20,2,14.6,56
9412,25,1,14.6,52
3207,26,1,14.6,70
10596,20,0,14.6,50
13817,26,2,14.6,46
3340,22,0,14.6,51
12804,18,0,14.6,48
14814,23,1,14.6,52
7933,25,1,14.6,56
7969,25,0,14.6,42
411,20,1,14.6,37
18712,19,1,14.6,48
16664,23,0,14.6,48
5990,25,0,14.6,38
17546,26,0,14.6,61
16970,25,0,14.6,47
14473,22,1,14.6,43
13206,26,1,14.6,69
10790,17,0,14.6,42
2438,26,0,14.6,53
16890,25,3,14.6,43
4644,25,0,14.6,61
8546,18,1,14.6,46
18768,25,0,14.6,60
13865,24,1,14.6,40
18361,18,0,14.6,38
13147,23,1,14.6,52
17476,25,0,14.6,65
3285,25,0,14.6,107
7063,26,1,14.6,40
11751,24,0,14.6,42
7899,26,0,14.6,44
16498,25,0,14.6,82
8403,23,0,14.6,41
15226,25,0,14.6,64
5923,23,1,14.6,65
19263,25,0,14.6,57
13375,24,0,14.7,76
14113,14,2,14.7,48
2441,24,1,14.7,67
8620,20,0,14.7,48
872,26,0,14.7,76
6003,22,2,14.7,44
19326,24,3,14.7,39
14967,26,1,14.7,53
18658,16,0,14.7,42
10721,26,0,14.7,50
7163,26,0,14.7,42
11586,26,2,14.7,54
15215,25,0,14.7,80
7240,25,0,14.7,42
3938,18,1,14.7,57
12395,22,0,14.7,49
19632,20,0,14.7,44
3596,22,1,14.7,59
1992,23,1,14.7,38
17957,23,0,14.7,44
16460,17,2,14.7,61
15262,21,0,14.7,45
993,25,0,14.7,45
10345,26,1,14.7,47
12085,25,2,14.7,80
14211,18,1,14.7,53
18525,26,0,14.7,63
5105,26,1,14.7,47
9175,24,2,14.7,38
733,21,0,14.7,39
2077,23,0,14.7,51
501,22,1,14.7,67
4530,21,0,14.7,43
12026,21,1,14.7,59
16214,20,0,14.7,47
2768,15,0,14.7,33
13660,26,1,14.7,60
10477,23,1,14.7,50
671,26,0,14.7,41
510,26,0,14.7,57
8394,21,0,14.7,63
16962,21,1,14.8,64
13987,23,1,14.8,45
17470,24,0,14.8,46
1058,25,0,14.8,51
13598,21,0,14.8,63
14980,25,1,14.8,44
17947,25,0,14.8,47
19823,21,0,14.8,49
1195,23,0,14.8,45
12440,24,1,14.8,63
15082,20,0,14.8,43
10984,26,0,14.8,48
3659,26,1,14.8,66
467,23,1,14.8,70
4739,25,0,14.8,48
11358,24,2,14.8,70
9804,26,1,14.8,47
9304,25,0,14.8,59
185,24,1,14.8,48
4407,22,1,14.8,41
16672,24,0,14.8,52
1244,23,0,14.8,71
77,23,0,14.8,52
17207,26,0,14.8,42
2695,24,1,14.8,63
934,24,0,14.8,39
5746,22,1,14.8,60
8352,22,0,14.8,68
10831,24,0,14.8,55
6564,23,0,14.8,105
11962,23,0,14.8,44
1415,25,0,14.8,60
4334,19,0,14.8,41
4637,14,0,14.8,50
13713,25,0,14.8,49
10706,21,1,14.8,49
11588,13,0,14.8,55
15655,25,1,14.8,82
16388,24,0,14.8,78
7204,25,0,14.8,76
15673,24,0,14.8,55
8621,18,1,14.8,91
18327,24,0,14.8,36
14640,25,0,14.8,46
11853,24,0,14.8,51
1383,26,0,14.8,45
13138,26,1,14.8,58
7992,24,0,14.8,49
11087,24,1,14.8,58
19997,25,1,14.8,34
1094,25,1,14.8,55
1792,23,0,14.8,67
7554,23,0,14.9,67
18727,23,0,14.9,56
7957,26,2,14.9,45
4482,22,0,14.9,52
726,19,0,14.9,57
8299,25,1,14.9,43
9846,26,1,14.9,71
3606,24,0,14.9,48
4989,24,0,14.9,47
19272,24,1,14.9,54
4937,22,1,14.9,38
1746,25,0,14.9,44
1014,23,1,14.9,42
6767,24,0,14.9,58
6422,24,0,14.9,65
1493,18,1,14.9,47
17907,24,3,14.9,54
13464,24,0,14.9,49
6954,26,1,14.9,46
5,16,1,14.9,55
9727,26,1,14.9,71
7777,20,0,14.9,45
18363,21,1,14.9,59
10694,23,0,14.9,60
5802,19,0,14.9,53
17563,21,1,14.9,51
19727,25,1,14.9,48
8451,25,1,14.9,66
13227,24,0,14.9,50
12622,25,0,14.9,48
19933,24,0,14.9,42
10261,18,1,14.9,39
15311,22,2,14.9,56
2873,25,0,14.9,61
2915,25,0,15,76
10398,23,0,15,54
19063,23,1,15,53
14096,26,0,15,50
14025,25,0,15,78
6027,21,1,15,35
6087,26,0,15,52
5114,22,0,15,38
13435,25,1,15,50
6479,24,1,15,62
6490,18,1,15,38
498,21,0,15,88
14634,26,1,15,48
13221,25,1,15,62
13191,22,0,15,73
667,24,0,15,80
18297,20,0,15,91
12906,24,0,15,78
12887,24,0,15,47
17102,25,0,15,54
14268,25,1,15,62
12600,23,1,15,58
12567,22,2,15,49
7595,24,0,15,90
12477,25,1,15,51
5297,25,0,15,64
8034,23,0,15,78
8037,26,2,15,79
12175,25,1,15,64
8201,23,0,15,47
8237,24,1,15,87
8401,24,1,15,65
8717,25,0,15,54
11794,26,0,15,46
3078,23,1,15,56
8845,24,0,15,63
8984,23,1,15,51
1513,25,0,15,54
11587,25,0,15,67
9024,23,0,15,55
9283,24,0,15,66
11272,23,1,15,47
11257,25,0,15,53
1745,23,1,15,81
9633,23,1,15,49
2589,23,1,15,36
2584,23,0,15,62
15543,21,0,15,77
19163,25,1,15,49
10863,22,0,15,43
19156,24,2,15,75
10083,24,1,15,45
2020,17,0,15,52
2272,25,1,15,55
19344,23,1,15.1,41
560,21,0,15.1,63
12137,21,1,15.1,46
10922,23,2,15.1,60
14604,22,0,15.1,59
950,23,1,15.1,81
6512,25,0,15.1,54
10851,22,0,15.1,73
17116,23,0,15.1,53
13989,21,1,15.1,42
15467,24,1,15.1,42
10958,25,0,15.1,55
10418,25,0,15.1,70
5886,23,2,15.1,40
4899,25,0,15.1,44
12650,21,1,15.1,34
10887,25,0,15.1,74
18205,20,1,15.1,36
242,23,0,15.1,138
17964,24,0,15.1,52
13734,24,0,15.1,48
5526,20,1,15.1,56
7946,25,2,15.1,52
5878,23,1,15.1,35
8358,25,1,15.1,80
10353,22,1,15.1,79
10518,17,0,15.1,49
13510,25,0,15.1,46
15901,25,0,15.1,54
13880,23,1,15.1,54
16847,21,2,15.1,41
17482,23,1,15.1,77
11547,25,0,15.1,68
8128,24,1,15.1,57
19201,21,0,15.1,55
19794,21,1,15.1,54
14338,16,1,15.1,47
10769,25,2,15.1,97
6840,23,0,15.1,55
463,14,2,15.1,40
13438,25,2,15.1,68
3673,15,2,15.1,33
17083,25,0,15.2,46
32,21,0,15.2,52
6610,21,1,15.2,42
15520,20,0,15.2,80
1234,22,0,15.2,52
5618,25,1,15.2,49
1000,23,1,15.2,66
6845,24,1,15.2,58
7654,17,0,15.2,44
18539,25,1,15.2,51
10444,17,1,15.2,38
5208,21,0,15.2,63
1596,21,0,15.2,52
3101,23,1,15.2,70
117,23,1,15.2,60
12545,25,0,15.2,35
2505,18,5,15.2,40
16725,23,1,15.2,35
11662,23,0,15.2,62
12561,25,1,15.2,53
18201,24,0,15.2,91
92,25,2,15.2,64
15969,22,0,15.2,81
16576,22,1,15.2,44
13284,18,2,15.2,51
8395,22,1,15.2,38
9792,23,0,15.2,56
11963,25,1,15.2,63
1395,22,0,15.2,79
6260,19,2,15.2,48
4222,19,1,15.2,42
5974,20,0,15.2,44
8939,25,0,15.2,44
11636,23,1,15.2,57
12591,24,1,15.2,47
12774,26,0,15.2,53
12415,23,0,15.2,41
11515,22,0,15.2,75
2238,25,1,15.2,46
2072,21,1,15.2,46
11182,22,1,15.2,41
3803,22,0,15.2,51
12185,22,0,15.2,49
9673,19,1,15.2,46
17006,25,2,15.2,74
17489,23,0,15.2,53
6446,19,0,15.2,41
16145,25,0,15.3,53
14697,23,1,15.3,49
7239,24,0,15.3,59
12815,22,1,15.3,56
7289,25,1,15.3,53
6139,23,2,15.3,53
11922,25,1,15.3,86
15209,25,1,15.3,62
18617,21,0,15.3,58
8277,23,0,15.3,53
12030,21,0,15.3,35
19121,25,1,15.3,49
17596,17,2,15.3,44
11902,23,1,15.3,38
8777,20,0,15.3,57
8804,24,0,15.3,46
16478,21,1,15.3,57
4735,22,1,15.3,64
4755,24,1,15.3,43
4485,23,1,15.3,56
4065,24,0,15.3,51
13056,24,0,15.3,64
715,23,2,15.3,49
6738,23,1,15.3,73
8998,20,0,15.3,67
14499,18,1,15.3,43
8230,23,0,15.3,55
18503,24,2,15.3,89
18502,24,0,15.3,33
5065,24,0,15.3,66
13629,21,0,15.3,71
18237,25,1,15.3,66
15935,23,1,15.3,63
17672,21,0,15.3,58
10337,23,1,15.3,70
19088,24,1,15.3,49
2806,24,0,15.3,59
2781,24,1,15.3,54
14578,23,0,15.3,49
5438,23,0,15.3,42
14670,19,0,15.3,37
2222,23,0,15.3,64
15699,22,0,15.3,61
11232,22,1,15.3,57
17115,23,0,15.3,44
1726,23,1,15.3,51
3967,21,1,15.3,41
15477,24,1,15.3,66
19636,18,0,15.3,65
12713,23,1,15.3,38
13337,19,0,15.4,49
12079,19,0,15.4,49
1297,22,0,15.4,79
18622,25,0,15.4,64
13648,24,1,15.4,56
5108,25,0,15.4,52
17533,22,0,15.4,61
8337,21,0,15.4,78
10221,18,1,15.4,62
10158,21,2,15.4,74
10501,22,0,15.4,62
4258,24,0,15.4,64
18998,22,1,15.4,51
19726,22,0,15.4,71
10012,24,1,15.4,48
4012,23,1,15.4,85
10834,22,0,15.4,63
10843,21,0,15.4,79
10563,20,0,15.4,40
5460,24,0,15.4,54
6663,25,1,15.4,36
5543,21,1,15.4,62
14343,25,2,15.4,65
7348,23,1,15.4,73
1760,22,1,15.4,50
9539,24,1,15.4,55
14000,21,0,15.4,36
15800,20,0,15.4,52
3765,23,1,15.4,50
148,25,1,15.4,59
17367,25,0,15.4,60
6529,21,1,15.4,52
7545,24,0,15.4,75
9408,22,0,15.4,33
1684,24,0,15.4,43
5671,18,0,15.4,47
17382,25,0,15.4,108
1027,25,1,15.4,55
16317,25,1,15.4,77
3648,21,0,15.4,40
9124,24,1,15.4,60
7837,22,1,15.4,110
5799,13,2,15.4,45
16841,22,0,15.4,58
16389,25,0,15.4,75
4786,25,1,15.4,41
6770,16,1,15.4,41
7952,22,1,15.4,42
14412,23,1,15.4,58
16485,23,3,15.4,42
13780,23,0,15.4,45
16517,22,1,15.4,88
11823,19,0,15.4,75
3161,23,1,15.4,46
3410,25,1,15.4,41
16575,24,0,15.4,47
6035,24,1,15.4,49
8499,23,0,15.4,57
3375,25,0,15.4,77
19422,25,0,15.4,67
6136,22,1,15.4,33
6764,25,1,15.5,47
8820,21,0,15.5,51
11234,23,1,15.5,71
17079,24,0,15.5,56
5722,19,1,15.5,44
9446,22,3,15.5,56
7895,15,0,15.5,46
1007,24,0,15.5,77
6792,24,2,15.5,47
7924,20,2,15.5,73
17020,21,1,15.5,35
8304,17,0,15.5,61
12270,25,1,15.5,47
5499,24,1,15.5,48
19234,23,1,15.5,37
2823,25,1,15.5,58
7233,23,0,15.5,44
13304,20,2,15.5,38
15390,20,3,15.5,37
10533,23,1,15.5,45
860,24,0,15.5,58
18976,22,0,15.5,73
7149,20,0,15.5,48
3323,22,0,15.5,112
11390,24,0,15.5,40
4548,22,2,15.5,55
2802,19,2,15.5,50
8667,21,0,15.5,46
13407,23,0,15.5,70
9314,24,0,15.5,85
18143,20,0,15.5,70
17162,15,1,15.5,61
12149,23,0,15.5,48
18268,19,0,15.5,52
1426,22,0,15.5,44
19288,24,1,15.5,63
8174,22,0,15.5,68
15315,24,1,15.5,57
6793,22,1,15.5,51
4718,19,0,15.5,46
13681,21,0,15.5,45
15849,22,0,15.5,42
14745,23,0,15.5,45
2918,23,0,15.5,59
4817,22,0,15.5,140
1755,19,2,15.5,46
1963,23,0,15.5,42
18709,13,0,15.5,56
3944,23,1,15.5,43
13785,15,1,15.5,73
838,24,1,15.5,65
8269,23,1,15.5,89
14590,23,0,15.5,49
3958,22,0,15.5,51
8149,23,0,15.5,51
3346,16,1,15.5,50
19943,23,1,15.5,73
15547,17,2,15.5,49
14200,24,0,15.5,51
10478,24,1,15.5,48
1162,25,0,15.5,59
6740,25,0,15.5,46
11905,24,0,15.5,56
14907,22,0,15.5,69
15113,20,0,15.5,46
2338,24,0,15.5,53
4942,22,0,15.5,47
5370,22,0,15.5,35
9495,22,0,15.5,72
13911,22,1,15.5,44
11466,25,1,15.5,56
5239,23,1,15.5,46
8161,24,0,15.5,62
10122,19,0,15.5,102
4736,24,1,15.5,62
19663,24,1,15.5,98
9195,23,0,15.5,73
14788,24,1,15.5,82
17555,21,2,15.5,48
4844,23,2,15.5,38
4374,22,1,15.5,46
13094,21,1,15.5,84
15786,17,1,15.6,40
19517,25,1,15.6,52
1100,20,0,15.6,72
15050,20,0,15.6,50
8861,24,1,15.6,62
11678,24,1,15.6,83
17274,22,1,15.6,90
285,22,1,15.6,53
8839,22,0,15.6,45
6991,25,0,15.6,60
14237,22,1,15.6,38
5329,24,2,15.6,47
16596,21,1,15.6,49
18044,21,1,15.6,52
11178,20,2,15.6,47
9511,24,3,15.6,43
7483,25,1,15.6,58
2551,24,1,15.6,60
16621,20,2,15.6,48
17265,22,0,15.6,68
14107,25,1,15.6,63
15525,22,1,15.6,56
9737,22,0,15.6,57
7292,23,2,15.6,39
1204,20,0,15.6,49
9954,24,2,15.6,42
17068,22,0,15.6,63
5277,22,2,15.6,47
11015,23,1,15.6,53
9807,20,1,15.6,67
15578,24,2,15.6,61
2763,23,1,15.6,55
6219,25,0,15.6,75
12162,22,2,15.6,59
19603,23,0,15.6,42
5696,23,1,15.6,51
13073,21,0,15.6,42
13948,24,1,15.6,65
9711,24,1,15.6,43
12495,22,1,15.6,59
8637,23,0,15.6,38
12489,24,0,15.6,39
8169,23,0,15.6,62
16094,18,0,15.6,123
17404,23,0,15.6,59
5184,23,1,15.6,59
10026,22,1,15.6,48
11843,25,0,15.6,93
13470,25,0,15.6,58
18590,25,0,15.6,100
9116,18,0,15.6,48
11519,18,2,15.6,59
9850,22,2,15.6,55
568,23,1,15.6,54
7771,23,0,15.6,64
5247,25,1,15.6,71
14883,19,2,15.6,65
6771,25,1,15.6,68
389,21,1,15.6,74
3311,23,1,15.6,38
16593,24,0,15.6,68
1531,22,0,15.6,50
17646,20,1,15.6,37
9008,23,1,15.6,60
8123,23,0,15.6,57
15649,23,0,15.6,60
15321,23,1,15.6,73
5861,23,0,15.6,42
9901,22,1,15.7,66
945,22,2,15.7,69
2643,16,1,15.7,47
15448,19,0,15.7,73
6298,22,0,15.7,50
3668,22,3,15.7,45
9572,20,1,15.7,61
1607,22,1,15.7,72
10857,23,1,15.7,52
19175,23,0,15.7,58
9749,24,0,15.7,74
10780,20,2,15.7,45
5814,19,0,15.7,42
10184,20,0,15.7,58
8120,22,0,15.7,50
12060,23,4,15.7,56
16980,19,0,15.7,62
14753,20,1,15.7,102
926,23,0,15.7,62
506,25,0,15.7,82
7196,24,1,15.7,48
8388,24,0,15.7,54
920,23,1,15.7,56
1743,23,1,15.7,55
8743,24,0,15.7,56
1076,23,0,15.7,75
8061,23,2,15.7,42
5961,22,0,15.7,87
2376,22,1,15.7,58
14885,23,0,15.7,57
10696,24,0,15.7,125
19129,23,0,15.7,77
19793,24,1,15.7,37
13569,22,0,15.7,77
6701,22,1,15.7,42
13685,24,0,15.7,59
8991,23,0,15.7,61
19028,15,0,15.7,69
17093,25,0,15.7,53
10396,18,0,15.7,43
695,23,0,15.7,100
1103,22,0,15.7,54
7038,20,0,15.7,57
5597,23,0,15.7,38
9071,23,0,15.7,58
16822,24,0,15.7,59
206,23,1,15.7,42
13871,20,1,15.7,59
6669,20,1,15.7,73
2954,20,0,15.7,73
406,23,1,15.7,40
14646,22,1,15.7,56
16679,20,0,15.7,67
2316,22,0,15.7,41
1432,20,0,15.7,54
7071,23,1,15.7,66
8112,23,1,15.7,69
18071,23,1,15.7,66
14347,23,1,15.7,42
1822,23,1,15.7,38
7439,23,1,15.7,110
19459,24,2,15.7,41
1365,22,1,15.7,43
14866,21,0,15.7,52
11369,21,0,15.7,75
9863,20,0,15.7,41
5975,21,0,15.7,69
12899,20,0,15.7,47
14937,22,1,15.7,58
19438,21,1,15.7,52
6877,15,0,15.7,57
19681,23,1,15.7,124
5286,23,1,15.7,35
17313,25,0,15.7,97
4969,25,0,15.7,70
9794,21,0,15.7,50
8521,15,0,15.7,48
9267,21,2,15.7,41
11157,23,1,15.7,46
215,21,1,15.7,62
1169,21,1,15.7,57
19762,21,2,15.7,42
13830,21,1,15.7,41
6987,23,1,15.7,54
6616,21,0,15.7,36
6067,23,2,15.7,73
